latitude,longitude,first_detected_year,confidence_trend,severity,waste_type,confidence,estimated_area_m2,description_es,satellite_tile_url,report_id,source
-24.242877526935544,-65.22274678036804,,unknown,medium,mixto,0.55,1200,"Se observa un área parcialmente despejada con posibles acumulaciones de residuos dispersos en un terreno semi-urbano. Hay estructuras aisladas y zonas de suelo expuesto que podrían indicar un microbasural informal, aunque la vegetación densa dificulta una identificación precisa.",data/candidates/-24.242878_-65.222747.png,,satellite
-24.178958832553704,-65.33730975486756,1993,shrinking,low,doméstico,0.45,150,"Se observa una zona en el centro de la imagen con acumulación de materiales y posibles residuos en un terreno entre las viviendas. Es un área urbana densa típica de Jujuy con algunos patios traseros que parecen tener acumulación desordenada de objetos, aunque podría tratarse simplemente de materiales de construcción o almacenamiento doméstico.",data/candidates/-24.178959_-65.337310.png,,satellite
-24.172274135397558,-65.29252897191522,2000,stable,medium,mixto,0.55,1500,Se observa un área urbana densa con posibles acumulaciones de residuos en terrenos baldíos y espacios abiertos entre las viviendas. En la zona superior izquierda hay estructuras precarias con techos de chapa y terreno descubierto donde podría haber disposición informal de residuos domésticos mezclados con escombros.,data/candidates/-24.172274_-65.292529.png,,satellite
-24.22102842085612,-65.25065116487458,2005,shrinking,high,mixto,0.82,45000,"Se observa un predio grande con acumulación significativa de residuos mixtos a cielo abierto. Hay galpones y estructuras tipo depósito rodeados de materiales dispersos, escombros y chatarra. Parece funcionar como un centro de acopio informal o planta de reciclaje precaria con residuos industriales y de construcción esparcidos por toda el área. La zona norte del predio muestra suelo degradado con acumulación desordenada de materiales.",data/candidates/-24.221028_-65.250651.png,,satellite
-24.198971975790553,-65.27346987539137,,unknown,low,mixto,0.55,300,"Se observan algunos terrenos baldíos con posible acumulación de residuos dispersos entre las viviendas del barrio. Hay lotes vacíos con materiales esparcidos que podrían ser microbasurales domésticos, aunque también podría tratarse de terrenos con escombros de construcción. La zona es un barrio residencial con calles de tierra donde es común la aparición de puntos de disposición informal.",data/candidates/-24.198972_-65.273470.png,,satellite
-24.179463546519877,-65.34500705504584,,unknown,medium,mixto,0.55,800,"Se observa un asentamiento informal con acumulación de residuos dispersos entre las viviendas y en los terrenos baldíos circundantes. Las calles de tierra y los espacios entre construcciones precarias muestran indicios de microbasurales, aunque la densidad edilicia dificulta distinguir con certeza los puntos de acumulación de residuos.",data/candidates/-24.179464_-65.345007.png,,satellite
-24.215772507541597,-65.28133589897492,,unknown,medium,industrial,0.55,3000,"Se observa una zona industrial con galpones y estructuras donde hay acumulación de materiales y posibles residuos dispersos entre las construcciones. El área entre los edificios muestra signos de desorden y acumulación que podrían corresponder a residuos industriales o de demolición, aunque también podría tratarse de un predio industrial activo con almacenamiento desordenado.",data/candidates/-24.215773_-65.281336.png,,satellite
-24.22713011959944,-65.27207868329569,,unknown,medium,mixto,0.72,8000,"Se observa una zona en el centro-sur de la imagen con acumulación desordenada de materiales, estructuras precarias y posibles residuos de construcción e industriales mezclados. El área tiene aspecto de depósito informal o desarmadero con materiales dispersos a cielo abierto, lindante con un barrio residencial densamente poblado.",data/candidates/-24.227130_-65.272079.png,,satellite
-24.20480375703623,-65.30393077040038,,unknown,medium,mixto,0.45,800,"Se observa una zona de asentamiento informal junto a una autopista/ruta principal con posibles acumulaciones de residuos dispersos en los márgenes. Hay estructuras precarias y terrenos con materiales acumulados que podrían corresponder a microbasurales asociados al barrio, aunque la resolución no permite confirmarlo con total certeza.",data/candidates/-24.204804_-65.303931.png,,satellite
-24.238275796732704,-65.23038372996253,1986,shrinking,medium,mixto,0.55,3000,Se observa una zona entre la ruta y un área boscosa con acumulación irregular de materiales y suelo alterado. Hay edificaciones industriales/comerciales del lado izquierdo y lo que parece ser un terreno degradado con posible disposición informal de residuos cerca del cauce de un arroyo meandroso. La presencia de estructuras industriales cercanas sugiere residuos mixtos.,data/candidates/-24.238276_-65.230384.png,,satellite
-24.200939789923968,-65.26815328104747,,unknown,medium,doméstico,0.55,1200,"Se observa un área con posible acumulación de residuos en un terreno baldío entre las viviendas del barrio. Hay zonas de suelo descubierto con manchas irregulares que podrían corresponder a microbasurales dispersos, típicos de asentamientos urbanos informales. La vegetación circundante y los techos de chapa sugieren un barrio periférico donde es común la disposición informal de residuos domésticos.",data/candidates/-24.200940_-65.268153.png,,satellite
-24.226389451886547,-65.27049270775595,,unknown,low,doméstico,0.55,800,"Se observa un terreno baldío en la zona central-izquierda de la imagen con posible acumulación de residuos domésticos dispersos entre las viviendas. El área tiene suelo expuesto y algunos elementos que podrían ser desechos, aunque la resolución no permite confirmarlo con total certeza. Es un barrio de viviendas densas típico de zonas periurbanas de Jujuy donde suelen generarse microbasurales.",data/candidates/-24.226389_-65.270493.png,,satellite
-24.208967531901244,-65.25564012171702,1988,shrinking,high,mixto,0.72,45000,"Se observa una zona extensa con acumulación de materiales y residuos a cielo abierto, con suelo expuesto y patrones irregulares que sugieren un vertedero o basural de gran escala. Hay estructuras asociadas en el sector oeste que podrían corresponder a una planta de tratamiento o instalaciones vinculadas al manejo de residuos. La zona está rodeada de vegetación densa, lo cual es típico de basurales ubicados en zonas periurbanas de Jujuy.",data/candidates/-24.208968_-65.255640.png,,satellite
-24.16514826665863,-65.3893127618855,,unknown,medium,doméstico,0.55,400,Se observa un asentamiento urbano denso con posibles acumulaciones de residuos domésticos en terrenos baldíos y espacios entre las viviendas. En la zona superior de la imagen se ven áreas descampadas con suelo expuesto que podrían contener microbasurales asociados al barrio.,data/candidates/-24.165148_-65.389313.png,,satellite
-24.203461413339006,-65.30958797193436,2013,shrinking,medium,mixto,0.7,400,"Se observa una acumulación de residuos en un terreno dentro de la zona urbana, hacia el centro-derecha de la imagen. Parece ser un microbasural con restos de materiales diversos, posiblemente domésticos y de construcción, acumulados en un predio sin uso aparente entre las viviendas.",data/candidates/-24.203461_-65.309588.png,,satellite
-24.244018275171893,-65.2456914975735,,unknown,high,mixto,0.88,18000,"Se observa un basural a cielo abierto de gran extensión en una zona periurbana. Podés ver acumulación significativa de residuos dispersos, escombros y materiales varios sobre suelo expuesto. El sitio tiene señales de actividad de volcado activo con distintas zonas de acumulación. Está rodeado de áreas residenciales y espacios verdes, lo que representa un riesgo sanitario y ambiental importante para los vecinos.",data/candidates/-24.244018_-65.245691.png,,satellite
-24.247217534905644,-65.21513432820325,,unknown,medium,mixto,0.55,1500,"Se observa una zona con posible acumulación de residuos en las inmediaciones de un complejo industrial/comercial. Hay áreas con materiales dispersos y suelo descubierto que podrían corresponder a un microbasural informal, aunque también podría tratarse de un área de acopio o depósito asociado a la actividad industrial de la zona.",data/candidates/-24.247218_-65.215134.png,,satellite
-24.180046738715223,-65.3471359813776,,unknown,medium,doméstico,0.55,1500,"Se observa un asentamiento informal con viviendas de chapa en la zona norte de la imagen, junto a una ruta principal. Hay acumulación de residuos dispersos en los terrenos baldíos entre las viviendas y la ruta, consistente con microbasurales típicos de zonas periurbanas. Sin embargo, la imagen no muestra con total claridad grandes concentraciones de residuos.",data/candidates/-24.180047_-65.347136.png,,satellite
